"nClust","SI_KM","SI_CLARA"
2,0.464764794446226,0.471632415647156
3,0.491354524547659,0.436181619026404
4,0.425520026361925,0.40000706676416
5,0.422683957916134,0.357341013311649
6,0.393584332316283,0.364530181668464
7,0.377081197691248,0.353493917755865
8,0.361000783899968,0.346716991954754
9,0.347656968319309,0.294225056035317
10,0.321596900526526,0.30101596740638
11,0.301871381275044,0.28402524750504
12,0.235492885822246,0.265818830892069
