OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Building condition,Lat,Long,Address,Building Entrance | مدخل البناية,Building Door Entrance | باب المدخل البناية,Water Collection | خزان تجميع المياه,Water Pump | مضخات مياه,Water Distribution Tank | خزان توزيع مياه,Water Main Supply | امدادات رئيسية للمياه,Electricity Room | غرفة الكهرباء,Electricity Main Supply | امدادات الكهرباء الرئيسية,Sanitation Main Supply | إمدادات الصرف الصحي الرئيسية,Sanitation Winter Water | مياه الشتاء,Building Glasses | زجاج المبنى,Building HandRail | درابزين المبنى,Building Balcony | برندات المبنى,Building Exterior | تلبيس المبنى,Building Structure Damage | جسم المبنى,Building Surface Isolation | عزل المبنى,Building Roof | سطح المبنى,,,,,,,,Damaged Doors,,Supplier UID,Survey Date,,,,,,,,,,,,,,,,,,,,,,,,,
FE64,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.893672,35.533763,16.134000778198242,,,,,,,,,,,,,,,,,,,,,,,,,2 door broken,,116379145,2020-08-15T10:13:21.977+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE65,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.893659,35.533781,16.086000442504883,,,,,,,,,,,,,,,,,,,,,,,,,3,,116380391,2020-08-15T10:29:39.113+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE66,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.893657,35.533691,16.798999786376953,,,,,,,,,,,,,,,,,,,,,,,,,,,116380808,2020-08-15T10:41:17.978+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE67,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.891736,35.516013,200,,,,,,,,,,,,,,,,,,,,,,,,,2,,116383143,2020-08-15T10:48:00.188+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE68,Frontline Engineers,Shelter,Unknown,,,,,33.891004,35.513618,1000,,,,,,,,,,,,,,,,,,,,,,,,,2,,116383659,2020-08-15T11:01:24.773+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE69,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.891004,35.513618,1000,,,,,,,,,,,,,,,,,,,,,,,,,2,,116384827,2020-08-15T11:05:21.828+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE70,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.891004,35.513618,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,116385773,2020-08-15T11:13:09.099+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE71,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.893685,35.533651,15.557999610900879,Minor | طفيف,Major | كبير,,,,,,,,,,,,,,,,,,,,,,,,,116386490,2020-08-15T10:45:16.123+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE72,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.89211,35.51396,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,116387043,2020-08-15T11:18:31.315+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE73,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.890672,35.514584,65,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,0,,116387224,2020-08-15T10:43:11.230+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE74,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.872201,35.526791,65,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,"3 in total- 2 wooden, 1 entrance Door lock",,116387922,2020-08-15T08:55:26.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE75,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.891432,35.516013,100,,,,,,,,,,,,,,,,,,,,,,,,,,,116387985,2020-08-15T11:25:11.749+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE76,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.893694,35.533346,27.187999725341797,,,,,,,,,,,,,,,,,,,,,,,,,,,116388985,2020-08-15T11:21:51.342+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE77,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.890666,35.51429,65,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,16,,116389069,2020-08-15T10:57:50.178+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE78,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.893735,35.533481,32.78499984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,116390320,2020-08-15T11:38:13.538+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE79,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.891242,35.514388,22.38457018422781,Major | كبير,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,0,,116390332,2020-08-15T11:26:49.341+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE80,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.893619,35.533475,65,,,,,,,,,,,,,,,,,,,,,,,,,,,116390595,2020-08-15T11:28:38.071+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE81,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.893578,35.533132,65,,,,,,,,,,,,,,,,,,,,,,,,,,,116392418,2020-08-15T11:49:03.655+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE82,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.892031,35.513276,899.9990234375,,Major | كبير,,,,,,,,,Severe | شديد,,,,Major | كبير,,,,,,,,,,,,116394178,2020-08-15T11:31:12.954+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE83,Frontline Engineers,Shelter,Unknown,,,,"Heavy Damage, Evacuation needed repairs should be done as soon as possible ",33.890802,35.51508,65,Severe | شديد,Major | كبير,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Severe | شديد,Minor | طفيف,Minor | طفيف,Major | كبير,Major | كبير,Severe | شديد,Major | كبير,,,,,,,,,,116394318,2020-08-15T11:39:13.562+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE84,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.890924,35.514048,65,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,3,,116394460,2020-08-15T12:03:38.197+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE85,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.89388,35.533477,39.599998474121094,,,,,,,,,,,,,,,,,,,,,,,,,,,116396073,2020-08-15T11:47:22.942+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE86,Frontline Engineers,Shelter,Unknown,,,,,33.893747,35.533606,65,,,,,,,,,,,,,,,,,,,,,,,,,,,116396119,2020-08-15T11:59:55.475+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE87,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.893722,35.533618,65,,,,,,,,,,,,,,,,,,,,,,,,,,,116398124,2020-08-15T12:23:57.652+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE88,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.893759,35.53362,14.821999549865723,,,,,,,,,,,,,,,,,,,,,,,,,,,116399510,2020-08-15T12:23:38.071+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE89,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.890997,35.514817,65,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Major | كبير,,,,,,,,1,,116399526,2020-08-15T12:12:22.012+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE90,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.893727,35.533633,13.699999809265137,,,,,,,,,,,,,,,,,,,,,,,,,,,116400238,2020-08-15T12:43:30.155+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE91,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.890698,35.515147,10,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Major | كبير,,,,,,,,,,116401167,2020-08-15T12:43:42.055+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE92,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.893713,35.533676,12.51200008392334,,,,,,,,,,,,,,,,,,,,,,,,,,,116401931,2020-08-15T12:46:34.417+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE93,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.89107,35.514169,65,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,,,,,,,,,,,,,,,,,,,,,3,,116402998,2020-08-15T12:13:26.027+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE94,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.891154,35.514538,65,,,,,,,,,,,,,,,,,,,,,,,,,0,,116404298,2020-08-15T13:02:23.204+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE95,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.893691,35.533667,13.361000061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,116406333,2020-08-15T12:56:52.426+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE96,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.893663,35.533671,20,,,,,,,,,,,,,,,,,,,,,,,,,,,116406366,2020-08-15T12:36:35.707+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE97,Frontline Engineers,Shelter,Unknown,,,,"Major damage, Evacuation needed for the Building and the Building nearby",33.89371,35.53369,11.989999771118164,Severe | شديد,Severe | شديد,,,,,,,,,,,,,,,,,,,,,,,,,116406716,2020-08-15T13:22:14.880+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE98,Frontline Engineers,Shelter,Unknown,,,,,33.89117,35.514354,65,,,,,,,,,,,,,,,,,,,,,,,,,1,,116407689,2020-08-15T13:08:33.281+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE99,Frontline Engineers,Shelter,Unknown,,,,"Major damage, Evacuation needed for the Building and the Building nearby",33.8916825,35.5154092,1,Major | كبير,Major | كبير,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,Minor | طفيف,Major | كبير,Major | كبير,,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,,Severe | شديد,,,,,,,,,,116573168,2020-08-16T15:10:15.392+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE100,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.894048,35.533709,16.246999740600586,,,,,,,,,,,,,,,,,,,,,,,,,1,,116684626,2020-08-17T10:29:02.506+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE101,Frontline Engineers,Shelter,Unknown,,,,,33.891387,35.514302,1000,,,,,,,,,,,,,,,,,,,,,,,,,2,,116684705,2020-08-15T12:02:48.538+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE102,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.894524,35.53363,15.213000297546387,,,Minor | طفيف,,,,,,,,,,,,Minor | طفيف,,,,,,,,,,2,,116687249,2020-08-17T11:05:09.777+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE103,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.89211,35.51396,899.9990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,116687320,2020-08-17T11:08:36.794+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE104,Frontline Engineers,Shelter,Unknown,,,,"Major damage, Evacuation needed for the Building and the Building nearby",33.891083,35.514302,1000,Severe | شديد,Severe | شديد,Major | كبير,,,,,,,,Severe | شديد,,,,,,Severe | شديد,,,,,,,,,,116689882,2020-08-17T11:05:03.736+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE105,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.89087,35.515202,10,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,7,,116690484,2020-08-17T10:19:32.094+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE106,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.891777,35.515023,54.6349983215332,,,,,,,,,,,,,,,,,,,,,,,,,,,116694626,2020-08-17T11:16:55.565+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE107,Frontline Engineers,Shelter,Unknown,,,,,33.894112,35.533769,19.965999603271484,,,,,,,,,,,,,,,,,,,,,,,,,1,,116695184,2020-08-17T11:16:41.203+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE108,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.891812,35.514863,14.267000198364258,,,,,,,,,,,,,,,,,,,,,,,,,,,116699444,2020-08-17T11:41:14.298+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE109,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.891187,35.513615,10,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Major | كبير,Major | كبير,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,,,116701387,2020-08-17T11:28:35.520+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE110,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.891772,35.514936,18.047000885009766,,,,,,,,,,,,,,,,,,,,,,,,,,,116705671,2020-08-17T11:55:50.850+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE111,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.89456,35.533963,15.553999900817871,,,,,,,,,,,,,,,Major | كبير,,,,,,,,,,2,,116707425,2020-08-17T11:43:07.345+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE112,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.894483,35.533807,22.576000213623047,,,,,,,,,,,,,,,,,,,,,,,,,,,116709294,2020-08-17T12:24:55.240+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE113,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.894533,35.533802,21.988000869750977,,,,,,,,,,,,,,,,,,,,,,,,,,,116710973,2020-08-17T12:32:36.435+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE114,Frontline Engineers,Shelter,Unknown,,,,,33.892267,35.515329,800,,,,,,,,,,,,,,,,,,,,,,,,,,,116712154,2020-08-17T12:25:04.212+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE115,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.894615,35.533977,14.41100025177002,,,,,,,,,,,,,,,,,,,,,,,,,,,116713544,2020-08-17T12:43:05.342+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE116,Frontline Engineers,Shelter,Unknown,,,,,33.89211,35.51396,1000,Major | كبير,Major | كبير,,,,,,,,,,,,,,,,,,,,,,,,,116713860,2020-08-17T12:40:11.056+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE117,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.894592,35.533928,12.769000053405762,,,,,,,,,,,,,,,,,,,,,,,,,,,116714509,2020-08-17T12:49:03.741+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE118,Frontline Engineers,Shelter,Unknown,,,,,33.894571,35.533973,16.97800064086914,,,,,,,,,,,,,,,,,,,,,,,,,,,116715893,2020-08-17T12:53:34.704+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE119,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.89412,35.533798,15.829000473022461,Minor | طفيف,,,,,,,,,,,,,,,,,,,,,,,,1,,116720982,2020-08-17T12:58:22.491+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE120,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.890156,35.515348,10,Major | كبير,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,,,,,,,,,,116721804,2020-08-17T12:00:06.582+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE121,Frontline Engineers,Shelter,Unknown,,,,"Heavy Damage, Evacuation needed repairs should be done as soon as possible ",33.8933,35.5205,0,Major | كبير,Minor | طفيف,,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Major | كبير,Severe | شديد,Major | كبير,Major | كبير,,,,,,,,1,,116722626,2020-08-17T13:05:51.391+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE122,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.890296,35.515095,10,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,,,116722810,2020-08-17T13:17:44.643+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE123,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.89018,35.515163,10,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,,,116724203,2020-08-17T13:25:59.409+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE124,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.894573,35.534003,13.5,,,,,,,,,,,,,,,,,,,,,,,,,1,,116726748,2020-08-17T13:18:36.911+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE125,Frontline Engineers,Shelter,Unknown,,,,,33.894402,35.520523,65,,,,,,,,,,,,,,,,,,,,,,,,,6,,116726768,2020-08-17T13:35:47.378+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE126,Frontline Engineers,Shelter,Unknown,,,,,33.8915,35.51396,899.9990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,116728864,2020-08-17T13:18:08.438+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE127,Frontline Engineers,Shelter,Unknown,,,,,33.891692,35.514302,500,Major | كبير,Major | كبير,,,,,,Major | كبير,,,Major | كبير,,Major | كبير,Major | كبير,,,,,,,,,,,,,116732662,2020-08-17T13:46:58.893+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE128,Frontline Engineers,Shelter,Unknown,,,,,33.89438,35.520308,65,,,,,,,,,,,,,,,,,,,,,,,,,4,,116741559,2020-08-17T13:51:06.893+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE129,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.894509,35.520248,56.099998474121094,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Severe | شديد,,,,,,,,,,,,,,10,,116745847,2020-08-17T11:43:23.652+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE130,Frontline Engineers,Shelter,Unknown,,,,,33.892267,35.515329,800,,,,,,,,,,,,,,,,,,,,,,,,,,,116840924,2020-08-17T13:51:34.066+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE131,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.896656,35.534067,10,,,,,,,,,,,,,,,,,,,,,,,,,,,116908074,2020-08-17T12:13:46.779+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE132,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.894788,35.533838,10,,,,,,,,,,,,,,,,,,,,,,,,,,,116908920,2020-08-18T10:19:48.916+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE133,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.894742,35.534039,10,,,,,,,,,,,,,,,,,,,,,,,,,,,116909170,2020-08-18T10:17:39.503+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE134,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.894837,35.533915,13.612000465393066,,,,,,,,,,,,,,,,,,,,,,,,,,,116911883,2020-08-18T10:55:17.838+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE135,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.894839,35.533843,11.567999839782715,,,,,,,,,,,,,,,,,,,,,,,,,,,116913062,2020-08-18T11:03:59.548+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE136,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.894554,35.534038,10,,,,,,,,,,,,,,,,,,,,,,,,,,,116914330,2020-08-18T10:51:33.038+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE137,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.894808,35.534025,11.07699966430664,,,,,,,,,,,,,,,,,,,,,,,,,,,116915394,2020-08-18T11:20:38.155+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE138,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.894702,35.53397,10,,,,,,,,,,,,,,,,,,,,,,,,,,,116915418,2020-08-18T11:06:24.098+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE139,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.894708,35.533994,10,,,,,,,,,,,,,,,,,,,,,,,,,,,116917650,2020-08-18T11:22:48.518+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE140,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.895033,35.533995,13.102999687194824,,,,,,,,,,,,,,,,,,,,,,,,,,,116920492,2020-08-18T11:33:03.117+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE141,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.895065,35.534025,18.52400016784668,,,,,,,,,,,,,,,,,,,,,,,,,,,116921068,2020-08-18T11:43:34.687+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE142,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.894643,35.53393,16.917999267578125,,,,,,,,,,,,,,,,,,,,,,,,,,,116921421,2020-08-18T11:34:55.140+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE143,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.894669,35.534029,12.586999893188477,,,,,,,,,,,,,,,,,,,,,,,,,,,116924839,2020-08-18T11:58:11.279+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE144,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.894304,35.659668,98.4000015258789,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,Major | كبير,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,,Major | كبير,,,,,,,,4,,117000575,2020-08-17T13:12:14.873+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE145,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.89424,35.51994,128,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,,,,,,,,5,,117001171,2020-08-17T13:04:10.503+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE146,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.894508,35.52018,23.724000930786133,Major | كبير,Major | كبير,Minor | طفيف,Minor | طفيف,Severe | شديد,Minor | طفيف,,,Severe | شديد,,Severe | شديد,,,,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,60,,117001357,2020-08-17T11:14:11.362+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
