OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Supplier UID,Survey Date,Lat,Long
RB44,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054823222,2020-08-07 12:44:40,,
RB45,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054829012,2020-08-07 12:46:53,,
RB46,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054832802,2020-08-07 12:48:19,,
RB47,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054839122,2020-08-07 12:50:57,,
RB48,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054851342,2020-08-07 12:56:00,,
RB49,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054856032,2020-08-07 12:57:57,,
RB50,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054858982,2020-08-07 12:59:08,,
RB51,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054861962,2020-08-07 13:00:19,,
RB52,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054865562,2020-08-07 13:01:43,,
RB53,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054871022,2020-08-07 13:03:57,,
RB54,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054875592,2020-08-07 13:05:47,,
RB55,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054881462,2020-08-07 13:08:08,,
RB56,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054884782,2020-08-07 13:09:28,,
RB57,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054892112,2020-08-07 13:12:42,,
RB58,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054895072,2020-08-07 13:13:54,,
RB59,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054897512,2020-08-07 13:14:54,,
RB60,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054901892,2020-08-07 13:16:40,,
RB61,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054906052,2020-08-07 13:18:26,,
RB62,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054910632,2020-08-07 13:20:21,,
RB63,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054915252,2020-08-07 13:22:23,,
RB64,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054921432,2020-08-07 13:24:56,,
RB65,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054925442,2020-08-07 13:26:41,,
RB66,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054929352,2020-08-07 13:28:23,,
RB67,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054936082,2020-08-07 13:31:29,,
RB68,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054940342,2020-08-07 13:33:08,,
RB69,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1055056472,2020-08-07 14:22:51,,
RB70,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1055278462,2020-08-07 15:59:54,,
RB71,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1055439613,2020-08-07 17:17:05,,
RB72,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056059032,2020-08-07 22:50:08,,
RB73,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056088162,2020-08-07 23:08:10,,
RB74,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056113992,2020-08-07 23:26:54,,
RB75,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056561602,2020-08-08 09:34:28,,
RB76,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056570882,2020-08-08 09:40:11,,
RB77,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056595132,2020-08-08 09:55:11,,
RB78,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056640392,2020-08-08 10:21:48,,
RB79,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056650032,2020-08-08 10:27:38,,
RB80,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056659002,2020-08-08 10:32:50,,
RB81,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056664852,2020-08-08 10:36:06,,
RB82,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056682382,2020-08-08 10:46:10,,
RB83,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056685552,2020-08-08 10:47:57,,
RB84,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056725982,2020-08-08 11:10:53,,
RB85,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056729502,2020-08-08 11:12:42,,
RB86,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056738102,2020-08-08 11:17:44,,
RB87,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056775662,2020-08-08 11:38:10,,
RB88,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056787452,2020-08-08 11:44:41,,
RB89,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056816812,2020-08-08 12:00:21,,
RB90,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056823402,2020-08-08 12:03:36,,
RB91,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056837632,2020-08-08 12:11:07,,
RB92,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056856562,2020-08-08 12:21:17,,
RB93,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056866902,2020-08-08 12:26:57,,
RB94,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056893712,2020-08-08 12:41:04,,
RB95,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056928682,2020-08-08 12:57:34,,
RB96,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056941262,2020-08-08 13:03:13,,
RB97,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1056942912,2020-08-08 13:04:05,,
RB98,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1057050912,2020-08-08 13:53:43,,
RB99,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1057063882,2020-08-08 13:59:32,,
RB100,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1057141102,2020-08-08 14:36:21,,
RB101,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1057164162,2020-08-08 14:47:32,,
RB102,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1057410732,2020-08-08 16:48:02,,
RB103,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1057672552,2020-08-08 19:05:59,,
RB104,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1057711362,2020-08-08 19:26:45,,
RB105,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1057796052,2020-08-08 20:14:03,,
RB106,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1057805152,2020-08-08 20:19:06,,
RB107,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1057811962,2020-08-08 20:22:52,,
RB108,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1057829682,2020-08-08 20:33:23,,
RB109,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1058021702,2020-08-08 22:24:49,,
RB110,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1058064142,2020-08-08 22:51:04,,
RB111,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1058176512,2020-08-09 00:22:16,,
RB112,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1058214192,2020-08-09 01:09:09,,
RB113,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1058256202,2020-08-09 02:34:21,,
RB114,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1058675532,2020-08-09 10:40:17,,
RB115,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1058716932,2020-08-09 11:00:07,,
RB116,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1058869152,2020-08-09 12:14:25,,
RB117,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1059017082,2020-08-09 13:30:34,,
RB118,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1059042413,2020-08-09 13:43:50,,
RB119,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1059081542,2020-08-09 14:02:46,,
RB120,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1059104712,2020-08-09 14:14:17,,
RB121,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1059115242,2020-08-09 14:19:15,,
RB122,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1059185852,2020-08-09 14:55:06,,
RB123,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1059443192,2020-08-09 16:58:17,,
RB124,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1059475302,2020-08-09 17:14:25,,
RB125,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1059480532,2020-08-09 17:16:57,,
RB126,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1059490012,2020-08-09 17:21:59,,
RB127,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1059500102,2020-08-09 17:27:00,,
RB128,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1059566272,2020-08-09 18:00:56,,
RB129,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1059570092,2020-08-09 18:02:55,,
RB130,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1060107452,2020-08-09 22:48:42,,
RB131,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1060188262,2020-08-09 23:41:17,,
RB132,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1060190432,2020-08-09 23:42:55,,
RB133,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1060199612,2020-08-09 23:50:45,,
RB134,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1060239592,2020-08-10 00:28:08,,
RB135,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1060241612,2020-08-10 00:30:31,,
