OML UID,Entity / Source,Survey Type,Status,Assignee,Supplier UID,Neighborhood,Zone,Lat,Long,Surveyed by,Survey Date
LRC2374,Lebanese Red Cross,MSNA,Unknown,,UsYzM,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/24/2020
LRC2375,Lebanese Red Cross,MSNA,Unknown,,KCTKH,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/24/2020
LRC2376,Lebanese Red Cross,MSNA,Unknown,,8c6fQ,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/24/2020
LRC2377,Lebanese Red Cross,MSNA,Unknown,,hD2ZP,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/24/2020
LRC2378,Lebanese Red Cross,MSNA,Unknown,,G+2+t,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/23/2020
LRC2379,Lebanese Red Cross,MSNA,Unknown,,XiLMR,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/22/2020
LRC2380,Lebanese Red Cross,MSNA,Unknown,,VIxeC,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/22/2020
LRC2381,Lebanese Red Cross,MSNA,Unknown,,hQump,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/22/2020
LRC2382,Lebanese Red Cross,MSNA,Unknown,,I0/+W,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/22/2020
LRC2383,Lebanese Red Cross,MSNA,Unknown,,fd7/Q,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/22/2020
LRC2384,Lebanese Red Cross,MSNA,Unknown,,sd52V,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/22/2020
LRC2385,Lebanese Red Cross,MSNA,Unknown,,nVodE,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/22/2020
LRC2386,Lebanese Red Cross,MSNA,Unknown,,eTTMp,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/22/2020
LRC2387,Lebanese Red Cross,MSNA,Unknown,,zce4A,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/22/2020
LRC2388,Lebanese Red Cross,MSNA,Unknown,,+f7Y0,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2389,Lebanese Red Cross,MSNA,Unknown,,4qSnK,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2390,Lebanese Red Cross,MSNA,Unknown,,7cgzG,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2391,Lebanese Red Cross,MSNA,Unknown,,Apf1v,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2392,Lebanese Red Cross,MSNA,Unknown,,iDAeR,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2393,Lebanese Red Cross,MSNA,Unknown,,IlzmN,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2394,Lebanese Red Cross,MSNA,Unknown,,mKXaM,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2395,Lebanese Red Cross,MSNA,Unknown,,nJuN1,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2396,Lebanese Red Cross,MSNA,Unknown,,p2vg+,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2397,Lebanese Red Cross,MSNA,Unknown,,P4SLH,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2398,Lebanese Red Cross,MSNA,Unknown,,paj0k,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2399,Lebanese Red Cross,MSNA,Unknown,,pODle,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2400,Lebanese Red Cross,MSNA,Unknown,,qXGbP,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2401,Lebanese Red Cross,MSNA,Unknown,,R/iH/,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2402,Lebanese Red Cross,MSNA,Unknown,,TSx+v,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2403,Lebanese Red Cross,MSNA,Unknown,,Y1TAp,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2404,Lebanese Red Cross,MSNA,Unknown,,zXZgB,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2405,Lebanese Red Cross,MSNA,Unknown,,7ly4l,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2406,Lebanese Red Cross,MSNA,Unknown,,A7jEB,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2407,Lebanese Red Cross,MSNA,Unknown,,H/f+X,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2408,Lebanese Red Cross,MSNA,Unknown,,NXZsI,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2409,Lebanese Red Cross,MSNA,Unknown,,OXHzy,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2410,Lebanese Red Cross,MSNA,Unknown,,QTB4+,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/21/2020
LRC2411,Lebanese Red Cross,MSNA,Unknown,,1Rdm2,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/12/2020
LRC2412,Lebanese Red Cross,MSNA,Unknown,,xTmJ1,Rmeil foncière,33,33.8928366,35.52862658,,8/12/2020
LRC2413,Lebanese Red Cross,MSNA,Unknown,,7T52K,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/12/2020
LRC2414,Lebanese Red Cross,MSNA,Unknown,,ZmCll,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/12/2020
LRC2415,Lebanese Red Cross,MSNA,Unknown,,K8XPN,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/12/2020
LRC2416,Lebanese Red Cross,MSNA,Unknown,,ra9eJ,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/12/2020
LRC2417,Lebanese Red Cross,MSNA,Unknown,,/0oj5,Rmeil foncière,33,33.8928366,35.52862658,,8/12/2020
LRC2418,Lebanese Red Cross,MSNA,Unknown,,oLvGU,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/12/2020
LRC2419,Lebanese Red Cross,MSNA,Unknown,,tZnQP,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/11/2020
LRC2420,Lebanese Red Cross,MSNA,Unknown,,ifnte,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/11/2020
LRC2421,Lebanese Red Cross,MSNA,Unknown,,+TEtw,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/11/2020
LRC2422,Lebanese Red Cross,MSNA,Unknown,,Xh09R,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/11/2020
LRC2423,Lebanese Red Cross,MSNA,Unknown,,D281q,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/11/2020
LRC2424,Lebanese Red Cross,MSNA,Unknown,,khFer,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/11/2020
LRC2425,Lebanese Red Cross,MSNA,Unknown,,k8Z9w,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/11/2020
LRC2426,Lebanese Red Cross,MSNA,Unknown,,2n787,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/10/2020
LRC2427,Lebanese Red Cross,MSNA,Unknown,,hkoqp,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/10/2020
LRC2428,Lebanese Red Cross,MSNA,Unknown,,6etWP,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/10/2020
LRC2429,Lebanese Red Cross,MSNA,Unknown,,ZKbQz,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/10/2020
LRC2430,Lebanese Red Cross,MSNA,Unknown,,Tp2i5,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/9/2020
LRC2431,Lebanese Red Cross,MSNA,Unknown,,BPCgU,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/9/2020
LRC2432,Lebanese Red Cross,MSNA,Unknown,,+wGoL,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/9/2020
LRC2433,Lebanese Red Cross,MSNA,Unknown,,8RVIk,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/9/2020
LRC2434,Lebanese Red Cross,MSNA,Unknown,,UdM+h,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/9/2020
LRC2435,Lebanese Red Cross,MSNA,Unknown,,5PKcg,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/9/2020
LRC2436,Lebanese Red Cross,MSNA,Unknown,,eBJza,Rmeil foncière,33,33.8928366,35.52862658,NRC,8/9/2020
LRC2437,Lebanese Red Cross,MSNA,Unknown,,DCat0,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/8/2020
LRC2438,Lebanese Red Cross,MSNA,Unknown,,9mIPA,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/8/2020
LRC2439,Lebanese Red Cross,MSNA,Unknown,,N0Tph,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/8/2020
LRC2440,Lebanese Red Cross,MSNA,Unknown,,tBpVR,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/8/2020
LRC2441,Lebanese Red Cross,MSNA,Unknown,,a6qgQ,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/8/2020
LRC2442,Lebanese Red Cross,MSNA,Unknown,,h2Piz,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/8/2020
LRC2443,Lebanese Red Cross,MSNA,Unknown,,c4Ei1,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/8/2020
LRC2444,Lebanese Red Cross,MSNA,Unknown,,5A/0O,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/8/2020
LRC2445,Lebanese Red Cross,MSNA,Unknown,,Za+Q8,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/8/2020
LRC2446,Lebanese Red Cross,MSNA,Unknown,,tvtOl,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/8/2020
LRC2447,Lebanese Red Cross,MSNA,Unknown,,kccVQ,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/8/2020
LRC2448,Lebanese Red Cross,MSNA,Unknown,,5l5Gl,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/8/2020
LRC2449,Lebanese Red Cross,MSNA,Unknown,,/byrQ,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/8/2020
LRC2450,Lebanese Red Cross,MSNA,Unknown,,ZzT3A,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/8/2020
LRC2451,Lebanese Red Cross,MSNA,Unknown,,TLSW4,Rmeil foncière,33,33.8928366,35.52862658,,8/7/2020
LRC2452,Lebanese Red Cross,MSNA,Unknown,,UNTQV,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/7/2020
LRC2453,Lebanese Red Cross,MSNA,Unknown,,VC7z1,Rmeil foncière,33,33.8928366,35.52862658,,8/7/2020
LRC2454,Lebanese Red Cross,MSNA,Unknown,,mFZYG,Rmeil foncière,33,33.8928366,35.52862658,,8/7/2020
LRC2455,Lebanese Red Cross,MSNA,Unknown,,K/fuH,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/7/2020
LRC2456,Lebanese Red Cross,MSNA,Unknown,,syHRk,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/7/2020
LRC2457,Lebanese Red Cross,MSNA,Unknown,,PI8Yr,Rmeil foncière,33,33.8928366,35.52862658,LRC,8/7/2020
LRC2458,Lebanese Red Cross,MSNA,Unknown,,caowg,Rmeil foncière,34,33.89278319,35.53024151,LRC,9/3/2020
LRC2459,Lebanese Red Cross,MSNA,Unknown,,OITgx,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/25/2020
LRC2460,Lebanese Red Cross,MSNA,Unknown,,abJLE,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2461,Lebanese Red Cross,MSNA,Unknown,,LtdDs,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2462,Lebanese Red Cross,MSNA,Unknown,,5ZvAW,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2463,Lebanese Red Cross,MSNA,Unknown,,t+5lt,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2464,Lebanese Red Cross,MSNA,Unknown,,dYnzZ,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2465,Lebanese Red Cross,MSNA,Unknown,,3RIw1,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2466,Lebanese Red Cross,MSNA,Unknown,,2xxcK,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2467,Lebanese Red Cross,MSNA,Unknown,,K0Ty2,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2468,Lebanese Red Cross,MSNA,Unknown,,ZQjVE,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2469,Lebanese Red Cross,MSNA,Unknown,,QFC6e,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2470,Lebanese Red Cross,MSNA,Unknown,,6nMlc,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2471,Lebanese Red Cross,MSNA,Unknown,,fYzpn,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2472,Lebanese Red Cross,MSNA,Unknown,,vqm/h,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2473,Lebanese Red Cross,MSNA,Unknown,,wrBHV,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2474,Lebanese Red Cross,MSNA,Unknown,,HUgzQ,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2475,Lebanese Red Cross,MSNA,Unknown,,MiIB9,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2476,Lebanese Red Cross,MSNA,Unknown,,1harf,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2477,Lebanese Red Cross,MSNA,Unknown,,Bm/pY,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2478,Lebanese Red Cross,MSNA,Unknown,,lvaj1,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2479,Lebanese Red Cross,MSNA,Unknown,,XjKvE,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2480,Lebanese Red Cross,MSNA,Unknown,,5jJ82,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2481,Lebanese Red Cross,MSNA,Unknown,,CR1jq,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2482,Lebanese Red Cross,MSNA,Unknown,,wotks,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2483,Lebanese Red Cross,MSNA,Unknown,,29ZDf,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2484,Lebanese Red Cross,MSNA,Unknown,,PtKqL,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2485,Lebanese Red Cross,MSNA,Unknown,,4ohaJ,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/24/2020
LRC2486,Lebanese Red Cross,MSNA,Unknown,,qwcMY,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/23/2020
LRC2487,Lebanese Red Cross,MSNA,Unknown,,D0ddc,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/23/2020
LRC2488,Lebanese Red Cross,MSNA,Unknown,,ajS8V,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/23/2020
LRC2489,Lebanese Red Cross,MSNA,Unknown,,4jziD,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/23/2020
LRC2490,Lebanese Red Cross,MSNA,Unknown,,GuhZG,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/23/2020
LRC2491,Lebanese Red Cross,MSNA,Unknown,,khcYJ,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/23/2020
LRC2492,Lebanese Red Cross,MSNA,Unknown,,N2CV3,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/23/2020
LRC2493,Lebanese Red Cross,MSNA,Unknown,,1S02k,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/23/2020
LRC2494,Lebanese Red Cross,MSNA,Unknown,,Qg+3z,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/23/2020
LRC2495,Lebanese Red Cross,MSNA,Unknown,,z7hPp,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/23/2020
LRC2496,Lebanese Red Cross,MSNA,Unknown,,Xz8Vv,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/22/2020
LRC2497,Lebanese Red Cross,MSNA,Unknown,,YtaJ9,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/22/2020
LRC2498,Lebanese Red Cross,MSNA,Unknown,,w+U8H,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/22/2020
LRC2499,Lebanese Red Cross,MSNA,Unknown,,cqB6h,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/22/2020
LRC2500,Lebanese Red Cross,MSNA,Unknown,,LQdVC,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/22/2020
LRC2501,Lebanese Red Cross,MSNA,Unknown,,R706q,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/22/2020
LRC2502,Lebanese Red Cross,MSNA,Unknown,,W34IN,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/22/2020
LRC2503,Lebanese Red Cross,MSNA,Unknown,,5j8M+,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/22/2020
LRC2504,Lebanese Red Cross,MSNA,Unknown,,ioOFW,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/22/2020
LRC2505,Lebanese Red Cross,MSNA,Unknown,,wXrQK,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/22/2020
LRC2506,Lebanese Red Cross,MSNA,Unknown,,ayaQc,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2507,Lebanese Red Cross,MSNA,Unknown,,B95Zi,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2508,Lebanese Red Cross,MSNA,Unknown,,gUsel,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2509,Lebanese Red Cross,MSNA,Unknown,,zRmN4,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2510,Lebanese Red Cross,MSNA,Unknown,,e6Uuh,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2511,Lebanese Red Cross,MSNA,Unknown,,lgRu9,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2512,Lebanese Red Cross,MSNA,Unknown,,c1tzV,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2513,Lebanese Red Cross,MSNA,Unknown,,sN+I/,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2514,Lebanese Red Cross,MSNA,Unknown,,11mcm,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2515,Lebanese Red Cross,MSNA,Unknown,,iBohq,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2516,Lebanese Red Cross,MSNA,Unknown,,/tCVg,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2517,Lebanese Red Cross,MSNA,Unknown,,2Q5wF,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2518,Lebanese Red Cross,MSNA,Unknown,,3Mll9,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2519,Lebanese Red Cross,MSNA,Unknown,,4ER4j,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2520,Lebanese Red Cross,MSNA,Unknown,,4yXWl,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2521,Lebanese Red Cross,MSNA,Unknown,,ApzGG,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2522,Lebanese Red Cross,MSNA,Unknown,,c21ds,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2523,Lebanese Red Cross,MSNA,Unknown,,dmS1F,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2524,Lebanese Red Cross,MSNA,Unknown,,DXQk0,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2525,Lebanese Red Cross,MSNA,Unknown,,gjRJQ,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2526,Lebanese Red Cross,MSNA,Unknown,,hLMby,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2527,Lebanese Red Cross,MSNA,Unknown,,hyrFG,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2528,Lebanese Red Cross,MSNA,Unknown,,iIjm0,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2529,Lebanese Red Cross,MSNA,Unknown,,iM/NP,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2530,Lebanese Red Cross,MSNA,Unknown,,JUXEG,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2531,Lebanese Red Cross,MSNA,Unknown,,KPZwf,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2532,Lebanese Red Cross,MSNA,Unknown,,mSxJi,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2533,Lebanese Red Cross,MSNA,Unknown,,otEbi,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2534,Lebanese Red Cross,MSNA,Unknown,,q0vg8,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2535,Lebanese Red Cross,MSNA,Unknown,,rev6V,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2536,Lebanese Red Cross,MSNA,Unknown,,Rva6l,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2537,Lebanese Red Cross,MSNA,Unknown,,UZBJw,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2538,Lebanese Red Cross,MSNA,Unknown,,VMKcA,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2539,Lebanese Red Cross,MSNA,Unknown,,wuYik,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2540,Lebanese Red Cross,MSNA,Unknown,,XZXZb,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2541,Lebanese Red Cross,MSNA,Unknown,,/2Ugz,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2542,Lebanese Red Cross,MSNA,Unknown,,+Ftxb,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2543,Lebanese Red Cross,MSNA,Unknown,,0XwqN,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2544,Lebanese Red Cross,MSNA,Unknown,,3kGBB,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2545,Lebanese Red Cross,MSNA,Unknown,,dMur2,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2546,Lebanese Red Cross,MSNA,Unknown,,Eet+B,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2547,Lebanese Red Cross,MSNA,Unknown,,eRFyW,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2548,Lebanese Red Cross,MSNA,Unknown,,GJLQc,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2549,Lebanese Red Cross,MSNA,Unknown,,gkCcE,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2550,Lebanese Red Cross,MSNA,Unknown,,he5K7,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2551,Lebanese Red Cross,MSNA,Unknown,,Iv9nc,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2552,Lebanese Red Cross,MSNA,Unknown,,KC5H4,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2553,Lebanese Red Cross,MSNA,Unknown,,kHEEa,Rmeil foncière,34,33.89278319,35.53024151,NRC,8/21/2020
LRC2554,Lebanese Red Cross,MSNA,Unknown,,kiYFu,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2555,Lebanese Red Cross,MSNA,Unknown,,kOwAr,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2556,Lebanese Red Cross,MSNA,Unknown,,lDMK+,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2557,Lebanese Red Cross,MSNA,Unknown,,ljSQ3,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2558,Lebanese Red Cross,MSNA,Unknown,,MgmZt,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2559,Lebanese Red Cross,MSNA,Unknown,,NhJPQ,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2560,Lebanese Red Cross,MSNA,Unknown,,P1Cis,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2561,Lebanese Red Cross,MSNA,Unknown,,rBB9u,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2562,Lebanese Red Cross,MSNA,Unknown,,rBBFt,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2563,Lebanese Red Cross,MSNA,Unknown,,s34nP,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2564,Lebanese Red Cross,MSNA,Unknown,,ubKbb,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2565,Lebanese Red Cross,MSNA,Unknown,,Ue/m6,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2566,Lebanese Red Cross,MSNA,Unknown,,uwSl4,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2567,Lebanese Red Cross,MSNA,Unknown,,WkG5W,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2568,Lebanese Red Cross,MSNA,Unknown,,YGrtZ,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/21/2020
LRC2569,Lebanese Red Cross,MSNA,Unknown,,8wTqM,Rmeil foncière,34,33.89278319,35.53024151,,8/12/2020
LRC2570,Lebanese Red Cross,MSNA,Unknown,,Fi5pV,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/12/2020
LRC2571,Lebanese Red Cross,MSNA,Unknown,,PYGEC,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/12/2020
LRC2572,Lebanese Red Cross,MSNA,Unknown,,kvZz9,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/12/2020
LRC2573,Lebanese Red Cross,MSNA,Unknown,,9XrU5,Rmeil foncière,34,33.89278319,35.53024151,NRC,8/12/2020
LRC2574,Lebanese Red Cross,MSNA,Unknown,,339ia,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/12/2020
LRC2575,Lebanese Red Cross,MSNA,Unknown,,677d8,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/12/2020
LRC2576,Lebanese Red Cross,MSNA,Unknown,,BE60Q,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/12/2020
LRC2577,Lebanese Red Cross,MSNA,Unknown,,n2Vrv,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/12/2020
LRC2578,Lebanese Red Cross,MSNA,Unknown,,uIzYu,Rmeil foncière,34,33.89278319,35.53024151,LRC,8/12/2020
