OML UID,Entity / Source,Survey Type,Status,Assignee,Lat,Long,Neighborhood,Zone,#REF!
NK76,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK77,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK78,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK79,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK80,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK81,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK82,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK83,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK84,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK85,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK86,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK87,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK88,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK89,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK90,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK91,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK92,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK93,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK94,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK95,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK96,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK97,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK98,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK99,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK100,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK101,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK102,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
