OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Lat,Long,Plot Number,Unit Type,Supplier UID,Survey Date,Damage Level
NS51,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS52,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS53,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS54,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS55,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS56,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS57,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS58,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS59,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS60,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS61,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS62,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS63,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS64,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS65,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS66,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS67,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS68,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS69,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS70,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS71,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS72,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS73,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS74,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS75,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS76,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS77,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS78,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS79,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS80,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS81,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS82,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS83,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS84,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS85,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS86,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS87,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS88,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS89,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS90,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS91,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS92,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS93,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS94,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS95,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS96,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS97,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS98,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS99,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS100,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS101,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS102,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS103,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS104,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS105,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS106,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS107,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS108,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS109,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS110,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS111,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS112,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS113,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS114,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS115,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS116,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS117,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS118,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS119,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS120,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS121,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS122,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS123,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS124,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS125,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS126,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS127,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS128,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS129,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS130,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS131,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS132,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS133,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS134,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS135,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS136,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS137,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS138,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS139,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS140,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS141,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS142,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS143,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS144,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS145,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS146,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS147,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS148,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS149,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS150,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS151,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS152,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS153,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS154,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS155,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS156,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS157,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS158,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS159,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS160,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS161,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS162,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS163,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS164,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS165,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS166,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS167,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS168,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS169,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS170,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS171,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS172,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS173,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS174,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS175,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS176,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS177,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS178,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS179,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS180,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS181,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS182,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS183,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS184,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS185,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS186,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS187,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS188,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS189,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS190,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS191,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS192,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS193,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS194,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS195,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS196,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS197,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS198,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS199,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS200,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS201,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS202,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS203,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS204,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS205,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS206,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
