OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Lat,Long
BC60,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8957073,35.5279016
BC61,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8974907,35.5346379
BC62,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8959436,35.5279837
BC63,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8956723,35.5284072
BC64,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8959575,35.5279693
BC65,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8958373,35.5224595
BC66,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8954474,35.5279364
BC67,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8959436,35.5279837
BC68,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.892861,35.539138
BC69,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8936763,35.5271378
BC70,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8892531,35.5459803
BC71,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8978741,35.5254976
BC72,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8954187,35.5281333
BC73,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8959737,35.5278892
BC74,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,35.528,33.8943
BC75,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8954146,35.5281048
BC76,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8955,35.527833
BC77,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8959728,35.5281527
BC78,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8950405,35.5158313
BC79,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8947038,35.5385436
BC80,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8953828,35.5279043
BC81,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8954908,35.5278416
BC82,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8975165,35.5340395
BC83,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8959637,35.5280923
BC84,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.893789,35.544261
BC85,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8959728,35.5281527
BC86,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8953578,35.5278848
BC87,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8953578,35.5278848
BC88,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8977728,35.5240533
BC89,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8954908,35.5278416
BC90,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8945518,35.5250477
