OML UID,Entity / Source,Survey Type,Status,Assignee,Survey Date,Zone,Neighborhood حي,Building Exterior Assessment التقييم الخارجي للمبنى,Lat,Long,Supplier UID
VC329,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,42,Geitaoui الجعيتاوي,Good جيد,33.892094,35.529488,116814225
VC330,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,23,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.894894,35.522297,116816253
VC331,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,42,Geitaoui الجعيتاوي,Good جيد,33.892263,35.529389,116818093
VC332,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,64,Sioufi السيوفي,Needs Replacement يحتاج إلى استبدال,33.88,35.52,116820279
VC333,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,64,Sioufi السيوفي,Good جيد,33.88,35.52,116822946
VC334,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,43,Other آخر,Good جيد,33.890812,35.526664,116823633
VC335,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,64,Sioufi السيوفي,Good جيد,33.88,35.52,116824593
VC336,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,43,Other آخر,Good جيد,33.890294,35.5275,116825348
VC337,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,64,Sioufi السيوفي,Good جيد,33.88,35.52,116825972
VC338,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,64,Sioufi السيوفي,Good جيد,33.88,35.52,116826578
VC339,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,43,Other آخر,Good جيد,33.890384,35.527298,116827437
VC340,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,43,Other آخر,Good جيد,33.890396,35.527292,116829502
VC341,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,43,Other آخر,Good جيد,33.890352,35.527308,116830343
VC342,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,44,Rmeil الرميل,Good جيد,33.89137,35.522789,116831283
VC343,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,43,Other آخر,Good جيد,33.89039,35.52728,116831673
VC344,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,41,Other آخر,Good جيد,33.890384,35.527278,116832522
VC345,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,43,Other آخر,Good جيد,33.890289,35.527481,116833496
VC346,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,43,Other آخر,Good جيد,33.890292,35.527494,116834390
VC347,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,43,Other آخر,Good جيد,33.890289,35.527491,116835131
VC348,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,64,Sioufi السيوفي,Good جيد,33.81,35.52,116835959
VC349,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,43,Other آخر,Good جيد,33.890278,35.527487,116836350
VC350,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,43,Other آخر,Good جيد,33.890284,35.527481,116836999
VC351,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,50,Other آخر,Needs Repair يحتاج إصلاح,33.89209,35.51346,116886745
VC352,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,50,Mar Mitr مار متر,Good جيد,33.891573,35.516993,116886756
VC353,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,50,Mar Mitr مار متر,Good جيد,33.891568,35.516996,116886762
VC354,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,50,Mar Mitr مار متر,Good جيد,33.89155,35.516948,116886774
VC355,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,45,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.8901863,35.5249233,116902112
VC356,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,45,Rmeil الرميل,Good جيد,33.8892372,35.5248368,116906248
VC357,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,45,Rmeil الرميل,Good جيد,33.889,35.524,116907998
VC358,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,23,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.894108,35.521608,116909312
