OML UID,Entity / Source,Survey Type,Status,Assignee,Survey Date,Zone,Neighborhood حي,Building Exterior Assessment التقييم الخارجي للمبنى,Lat,Long,Supplier UID
VC1,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,64,Sioufi السيوفي,Needs Repair يحتاج إصلاح,33.88,35.52,116804839
VC2,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,45,Other آخر,Good جيد,33.889215,35.5245096,116771717
VC3,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,62,Sioufi السيوفي,Good جيد,33.882357,35.522761,116771654
VC4,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,64,Sioufi السيوفي,Good جيد,33.88,35.52,116793973
VC5,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,,Sioufi السيوفي,Good جيد,33.88,35.52,116799916
VC6,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,,Sioufi السيوفي,Good جيد,33.882357,35.522761,116773306
VC7,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,62,Sioufi السيوفي,Good جيد,33.882357,35.522761,116775735
VC8,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,64,Sioufi السيوفي,Good جيد,33.88,35.52,116807606
VC9,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,979,Sioufi السيوفي,Good جيد,33.88,35.52,116809645
VC10,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,64,Sioufi السيوفي,Good جيد,33.88,35.52,116797270
VC11,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,62,Sioufi السيوفي,Good جيد,33.882233,35.523,116777878
VC12,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Ghabi غابي,Good جيد,33.888,35.752,116937808
VC13,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,45,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.8901863,35.524923,116904687
VC14,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,62,Sioufi السيوفي,Needs Repair يحتاج إصلاح,33.88403,35.525783,116073823
VC15,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,49,Mar Mitr مار متر,Good جيد,33.891454,35.516124,116072198
VC16,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,42,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.89085,35.532294,116071991
VC17,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,43,Karm el Zeitoun كرم الزيتون,Good جيد,33.888278,35.526644,116070385
VC18,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,44,Rmeil الرميل,Good جيد,33.891749,35.523457,116068460
VC19,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,49,Mar Mitr مار متر,Good جيد,33.891322,35.516018,116067750
VC20,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,43,Karm el Zeitoun كرم الزيتون,Needs Repair يحتاج إصلاح,33.888426,35.527391,116066892
VC21,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,45,Mar Mitr مار متر,Needs Repair يحتاج إصلاح,33.8892367,35.5210287,116065506
VC22,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,42,Rmeil الرميل,Good جيد,33.890854,35.53223,116065470
VC23,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,62,Sioufi السيوفي,Needs Repair يحتاج إصلاح,33.884051,35.525824,116065336
VC24,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,42,Geitaoui الجعيتاوي,Needs Repair يحتاج إصلاح,33.891478,35.528105,116063762
VC25,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,48,Mar Mitr مار متر,Good جيد,33.51,35.35,116063155
VC26,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,48,Mar Mitr مار متر,Good جيد,33.53,35.83,116064535
VC27,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,45,Mar Mitr مار متر,Needs Repair يحتاج إصلاح,33.8892367,35.5210287,116063530
VC28,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,44,Rmeil الرميل,Good جيد,33.892014,35.523937,116062398
VC29,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,43,Mar Mitr مار متر,Needs Repair يحتاج إصلاح,33.888155,35.527349,116061670
VC30,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,62,Sioufi السيوفي,Needs Repair يحتاج إصلاح,33.883702,35.525871,116081931
VC31,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,59,Other آخر,Good جيد,33.884852,35.519146,116076210
VC32,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,44,Rmeil الرميل,Good جيد,33.891789,35.523743,116074892
VC33,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,51,Other آخر,Good جيد,33.891493,35.5124075,116105894
VC34,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,51,Other آخر,Good جيد,33.891493,35.5124075,116105882
VC35,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,44,Rmeil الرميل,Good جيد,33.891379,35.52408,116084249
VC36,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-20,18,Sioufi السيوفي,Needs Repair يحتاج إصلاح,33.89479,35.516005,117440626
VC37,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-20,30,Geitaoui الجعيتاوي,Needs Repair يحتاج إصلاح,33.89,35.525,117440384
VC38,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-20,18,Sioufi السيوفي,Good جيد,33.894498,35.515318,117434187
VC39,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-20,30,Geitaoui الجعيتاوي,Needs Repair يحتاج إصلاح,33.89,35.525,117436951
VC40,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-20,30,Geitaoui الجعيتاوي,Good جيد,33.89,35.525,117434542
VC41,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-19,61,Karm el Zeitoun كرم الزيتون,Good جيد,33.888562,35.528755,117189068
VC42,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,,Gemmayze الجميزة,Good جيد,87.88,7.88,116011721
VC43,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,45,Mar Mitr مار متر,Good جيد,33.8876352,35.5212849,116027932
VC44,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,42,Rmeil الرميل,Good جيد,33.890813,35.533107,116028887
VC45,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,48,Mar Mitr مار متر,Good جيد,33.889717,35.517714,116030588
VC46,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,49,Mar Mitr مار متر,Good جيد,33.890206,35.517611,116032401
VC47,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,48,Mar Mitr مار متر,Good جيد,33.889717,35.517714,116032885
VC48,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,48,Mar Mitr مار متر,Good جيد,33.889717,35.517714,116033138
VC49,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,62,Sioufi السيوفي,Needs Repair يحتاج إصلاح,33.884397,35.525707,116034064
VC50,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,42,Geitaoui الجعيتاوي,Needs Repair يحتاج إصلاح,33.891736,35.527421,116034794
VC51,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,62,Sioufi السيوفي,Needs Repair يحتاج إصلاح,33.884397,35.525707,116034980
VC52,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,62,Sioufi السيوفي,Needs Repair يحتاج إصلاح,33.884169,35.525526,116035678
VC53,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,49,Mar Mitr مار متر,Good جيد,33.890117,35.517517,116036528
VC54,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,43,Mar Mitr مار متر,Needs Repair يحتاج إصلاح,33.888432,35.527524,116036701
VC55,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,62,Sioufi السيوفي,Needs Repair يحتاج إصلاح,33.884169,35.525526,116037897
VC56,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,42,Rmeil الرميل,Good جيد,33.890846,35.533208,116038317
VC57,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,43,Karm el Zeitoun كرم الزيتون,Needs Repair يحتاج إصلاح,33.888292,35.527476,116038593
VC58,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,42,Geitaoui الجعيتاوي,Good جيد,33.891746,35.527425,116038871
VC59,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,48,Mar Mitr مار متر,Good جيد,33.8895726,35.5179127,116040499
VC60,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,48,Mar Mitr مار متر,Good جيد,35.5179,33.889717,116040821
VC61,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,59,Other آخر,Good جيد,33.885829,35.521602,116041085
VC62,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,44,Rmeil الرميل,Good جيد,33.892012,35.523793,116041122
VC63,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,62,Sioufi السيوفي,Needs Repair يحتاج إصلاح,33.884024,35.525879,116041147
VC64,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,43,Karm el Zeitoun كرم الزيتون,Good جيد,33.888013,35.527339,116041288
VC65,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,48,Mar Mitr مار متر,Good جيد,35.5174,33.889717,116042376
VC66,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,43,Mar Mitr مار متر,Good جيد,33.888101,35.52721,116044017
VC67,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,48,Mar Mitr مار متر,Good جيد,,,116044153
VC68,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,62,Sioufi السيوفي,Needs Repair يحتاج إصلاح,33.883961,35.525876,116045233
VC69,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,59,Other آخر,Good جيد,33.885829,35.521602,116045563
VC70,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,48,Mar Mitr مار متر,Good جيد,33.88,35.51,116045989
VC71,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,45,Mar Mitr مار متر,Needs Repair يحتاج إصلاح,33.8882024,35.5225677,116045994
VC72,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,44,Mar Mitr مار متر,Good جيد,33.892064,35.523867,116045999
VC73,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,44,Rmeil الرميل,Good جيد,33.892043,35.523794,116046121
VC74,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,43,Karm el Zeitoun كرم الزيتون,Good جيد,33.888091,35.527312,116046269
VC75,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,42,Geitaoui الجعيتاوي,Needs Repair يحتاج إصلاح,33.89168,35.527945,116046505
VC76,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,51,Other آخر,Needs Repair يحتاج إصلاح,33.890266,35.515382,116048195
VC77,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,59,Other آخر,Good جيد,33.885162,35.520877,116049129
VC78,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,42,Rmeil الرميل,Good جيد,33.890652,35.532367,116049804
VC79,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,43,Mar Mitr مار متر,Good جيد,33.888207,35.527258,116050104
VC80,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,62,Sioufi السيوفي,Needs Repair يحتاج إصلاح,33.883955,35.525655,116051660
VC81,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,51,Other آخر,Needs Repair يحتاج إصلاح,33.890367,35.515311,116051700
VC82,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,42,Geitaoui الجعيتاوي,Needs Repair يحتاج إصلاح,33.89133,35.527902,116051709
VC83,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,44,Rmeil الرميل,Good جيد,33.892002,35.523766,116051746
VC84,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,42,Rmeil الرميل,Good جيد,33.890652,35.532367,116052309
VC85,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,49,Mar Mitr مار متر,Needs Repair يحتاج إصلاح,33.89105,35.515688,116055867
VC86,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,48,Mar Mitr مار متر,Good جيد,33.53,35.31,116056036
VC87,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,48,Mar Mitr مار متر,Good جيد,33.53,35.31,116056306
VC88,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,42,Rmeil الرميل,Good جيد,33.890652,35.532367,116056375
VC89,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,62,Sioufi السيوفي,Needs Repair يحتاج إصلاح,33.883919,35.525643,116056378
VC90,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,42,Geitaoui الجعيتاوي,Needs Repair يحتاج إصلاح,33.891474,35.528112,116057446
VC91,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,62,Sioufi السيوفي,Needs Repair يحتاج إصلاح,33.883993,35.525877,116057484
VC92,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,62,Sioufi السيوفي,Needs Repair يحتاج إصلاح,33.883993,35.525877,116059516
VC93,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,48,Mar Mitr مار متر,Good جيد,33.88,35.51,116059589
VC94,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,51,Other آخر,Good جيد,33.8913945,35.5125831,116109300
VC95,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,53,Other آخر,Good جيد,35.5118617,33.8900062,116114851
VC96,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,53,Other آخر,Good جيد,35.5104558,33.8123117,116119570
VC97,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,59,Other آخر,Good جيد,35.5170577,33.884889,116120364
VC98,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,2526,Other آخر,Needs Repair يحتاج إصلاح,33.888,35.515,116122187
VC99,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,2524,Mar Mitr مار متر,Good جيد,33.88,35.518,116129893
VC100,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,2525,Mar Mitr مار متر,Needs Repair يحتاج إصلاح,33.89,35.516,116137031
VC101,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,2525,Mar Mitr مار متر,Good جيد,33.88,35.516,116139215
VC102,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,42,Rmeil الرميل,Good جيد,33.890868,35.532237,116167000
VC103,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,50,Mar Mitr مار متر,Good جيد,33.891563,35.516968,116208156
VC104,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,50,Mar Mitr مار متر,Good جيد,33.891479,35.517059,116208368
VC105,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,50,Mar Mitr مار متر,Good جيد,33.891469,35.51706,116209868
VC106,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,50,Mar Mitr مار متر,Good جيد,33.891577,35.516991,116210009
VC107,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,50,Mar Mitr مار متر,Good جيد,33.891586,35.516994,116210119
VC108,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,44,Rmeil الرميل,Good جيد,33.891803,35.520718,116212214
VC109,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,44,Rmeil الرميل,Good جيد,33.891435,35.524584,116212335
VC110,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,62,Sioufi السيوفي,Good جيد,33.884089,35.52592,116214638
VC111,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,44,Rmeil الرميل,Good جيد,33.891854,35.520908,116214664
VC112,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,62,Sioufi السيوفي,Good جيد,33.884089,35.52592,116215099
VC113,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,63,Other آخر,Good جيد,33.884696,35.514698,116215525
VC114,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,44,Rmeil الرميل,Good جيد,33.89194,35.525401,116215601
VC115,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,13,Gemmayze الجميزة,Needs Repair يحتاج إصلاح,1,1,116216067
VC116,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,62,Sioufi السيوفي,Good جيد,33.884089,35.52592,116216330
VC117,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,42,Geitaoui الجعيتاوي,Good جيد,33.891934,35.528259,116216518
VC118,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,48,Mar Mitr مار متر,Good جيد,33.890206,35.517674,116216741
VC119,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,49,Mar Mitr مار متر,Good جيد,33.890389,35.515768,116216764
VC120,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,48,Mar Mitr مار متر,Good جيد,33.89,35.517674,116217399
VC121,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,44,Rmeil الرميل,Good جيد,33.891609,35.525302,116217410
VC122,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,49,Mar Mitr مار متر,Good جيد,33.890561,35.515823,116217612
VC123,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,44,Rmeil الرميل,Good جيد,33.891895,35.521384,116218089
VC124,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,48,Mar Mitr مار متر,Good جيد,33.89,35.53,116218634
VC125,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,62,Sioufi السيوفي,Good جيد,33.88406,35.524821,116219436
VC126,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,48,Mar Mitr مار متر,Good جيد,33.89,35.51,116219543
VC127,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,49,Mar Mitr مار متر,Good جيد,33.890692,35.516134,116220201
VC128,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,62,Sioufi السيوفي,Good جيد,33.884056,35.52482,116220224
VC129,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,45,Mar Mitr مار متر,Needs Repair يحتاج إصلاح,33.8888656,35.5241155,116220338
VC130,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,13,Gemmayze الجميزة,Needs Repair يحتاج إصلاح,1,1,116221256
VC131,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,48,Mar Mitr مار متر,Needs Repair يحتاج إصلاح,33.89,35.51,116221306
VC132,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-14,45,Mar Mitr مار متر,Needs Repair يحتاج إصلاح,33.8883352,35.5248278,116222386
